image,timeline_days,progress_percent,budget_utilized_percent,delayed
s1.jpg,500,100,100,1
s1.jpg,400,100,90,1
s1.jpg,300,100,80,0
s1.jpg,365,100,50,0
s1.jpg,400,100,30,0
s1.jpg,560,100,10,0
s2.jpg,500,50,100,1
s2.jpg,400,50,90,1
s2.jpg,300,50,80,0
s2.jpg,365,50,30,0
s2.jpg,400,50,10,0
s3.jpg,560,25,100,1
s3.jpg,500,25,90,1
s3.jpg,400,25,50,1
s3.jpg,300,25,30,0
s3.jpg,365,25,10,0
s4.jpg,400,25,100,1
s4.jpg,560,25,90,1
s4.jpg,500,25,80,0
s4.jpg,400,25,30,0
s4.jpg,300,25,10,0
s5.jpg,365,90,100,0
s5.jpg,400,90,90,1
s5.jpg,560,90,50,0
s5.jpg,500,90,75,1
s5.jpg,400,90,10,0
s6.jpg,300,100,100,1
s6.jpg,365,100,80,0
s6.jpg,400,100,40,0
s6.jpg,560,100,60,0
s7.jpg,500,25,100,1
s7.jpg,400,25,80,1
s7.jpg,300,25,40,0
s7.jpg,365,25,50,1
s7.jpg,400,25,30,0
s8.jpg,560,25,100,1
s8.jpg,500,25,80,1
s8.jpg,400,25,90,1
s8.jpg,300,25,45,0
s8.jpg,365,25,60,0
s8.jpg,400,25,30,0
s8.jpg,560,25,70,0
s9.jpg,500,100,100,1
s9.jpg,400,100,80,1
s9.jpg,300,100,70,1
s9.jpg,365,100,60,0
s9.jpg,400,100,50,0
s9.jpg,560,100,25,0
s10.jpg,500,100,100,1
s10.jpg,400,100,80,1
s10.jpg,300,100,50,0
s10.jpg,365,100,75,0
s10.jpg,400,100,60,0
s10.jpg,560,100,35,0
s11.jpg,500,10,90,1
s11.jpg,400,10,80,1
s11.jpg,300,10,45,1
s11.jpg,365,10,20,1
s11.jpg,400,10,10,0
s12.jpg,560,10,90,1
s12.jpg,500,10,80,1
s12.jpg,400,10,45,1
s12.jpg,300,10,20,0
s12.jpg,365,10,10,0
s13.jpg,400,100,100,0
s13.jpg,560,100,90,0
s13.jpg,500,100,70,0
s13.jpg,400,100,30,0
s13.jpg,300,100,45,0
s14.jpg,365,25,90,1
s14.jpg,400,25,80,1
s14.jpg,560,25,45,1
s14.jpg,500,25,20,1
s14.jpg,400,25,10,0
s15.jpg,300,100,100,0
s15.jpg,365,100,90,0
s15.jpg,400,100,70,0
s15.jpg,560,100,30,0
s15.jpg,500,100,45,0
s16.jpg,400,25,90,1
s16.jpg,300,25,80,1
s16.jpg,365,25,45,1
s16.jpg,400,25,20,0
s16.jpg,560,25,10,0
s17.jpg,500,25,90,1
s17.jpg,400,25,80,1
s17.jpg,300,25,35,0
s17.jpg,365,25,20,0
s17.jpg,400,25,10,0
s18.jpg,560,25,90,1
s18.jpg,500,25,85,1
s18.jpg,400,25,35,1
s18.jpg,300,25,25,0
s18.jpg,365,25,5,0
s19.jpg,400,50,90,1
s19.jpg,560,50,80,1
s19.jpg,500,50,55,0
s19.jpg,400,50,20,0
s19.jpg,300,50,10,0
s20.jpg,365,90,90,1
s20.jpg,400,90,80,1
s20.jpg,560,90,35,1
s20.jpg,500,90,28,0
s20.jpg,400,90,5,0
s21.jpg,300,50,90,1
s21.jpg,365,50,85,1
s21.jpg,400,50,75,0
s21.jpg,560,50,50,0
s21.jpg,500,50,25,0
s22.jpg,400,25,100,1
s22.jpg,300,25,92,1
s22.jpg,365,25,75,1
s22.jpg,400,25,25,1
s22.jpg,560,25,15,0
s23.jpg,500,100,90,0
s23.jpg,400,100,80,0
s23.jpg,300,100,45,0
s23.jpg,365,100,20,0
s23.jpg,400,100,10,0
s24.jpg,560,90,90,1
s24.jpg,500,90,100,1
s24.jpg,400,90,82,0
s24.jpg,300,90,50,0
s24.jpg,365,90,10,0
s25.jpg,400,100,95,1
s25.jpg,560,100,86,1
s25.jpg,500,100,45,1
s25.jpg,400,100,30,1
s25.jpg,300,100,20,0
s26.jpg,365,100,20,0
s26.jpg,400,100,100,0
s26.jpg,560,100,92,0
s26.jpg,500,100,80,0
s26.jpg,400,100,53,0
s27.jpg,300,100,5,0
s27.jpg,365,100,100,0
s27.jpg,400,100,95,0
s27.jpg,560,100,76,0
s27.jpg,500,100,35,0
s28.jpg,400,100,20,0
s28.jpg,300,100,56,0
s28.jpg,365,100,95,0
s28.jpg,400,100,81,0
s28.jpg,560,100,66,0
s29.jpg,500,10,90,1
s29.jpg,400,10,82,1
s29.jpg,300,10,60,1
s29.jpg,365,10,5,0
s29.jpg,400,10,2,0
s30.jpg,560,50,90,1
s30.jpg,500,50,82,1
s30.jpg,400,50,60,1
s30.jpg,300,50,20,0
s30.jpg,365,50,10,0
s31.jpg,400,25,50,1
s31.jpg,560,25,45,1
s31.jpg,500,25,30,1
s31.jpg,400,25,20,1
s31.jpg,300,25,10,0
s32.jpg,365,50,100,1
s32.jpg,400,50,85,1
s32.jpg,560,50,59,1
s32.jpg,500,50,25,0
s32.jpg,400,50,10,0
s33.jpg,300,25,100,1
s33.jpg,365,25,80,1
s33.jpg,400,25,50,1
s33.jpg,560,25,21,0
s33.jpg,500,25,5,0
s34.jpg,400,50,10,0
s34.jpg,300,50,100,1
s34.jpg,365,50,80,1
s34.jpg,400,50,56,0
s34.jpg,560,50,45,0
s35.jpg,500,10,89,1
s35.jpg,400,10,65,1
s35.jpg,300,10,50,1
s35.jpg,365,10,9,0
s35.jpg,400,10,4,0
s36.jpg,560,50,100,1
s36.jpg,500,50,80,1
s36.jpg,400,50,25,1
s36.jpg,300,50,8,0
s36.jpg,365,50,5,0
s37.jpg,400,25,89,1
s37.jpg,560,25,75,1
s37.jpg,500,25,65,1
s37.jpg,400,25,15,0
s37.jpg,300,25,10,0
s38.jpg,365,100,100,0
s38.jpg,400,100,80,0
s38.jpg,560,100,60,0
s38.jpg,500,100,40,0
s38.jpg,400,100,30,0
s39.jpg,300,10,95,1
s39.jpg,365,10,82,1
s39.jpg,400,10,20,1
s39.jpg,560,10,2,0
s39.jpg,500,10,4,0
s40.jpg,400,100,100,0
s40.jpg,300,100,80,0
s40.jpg,365,100,35,0
s40.jpg,400,100,25,0
s40.jpg,560,100,5,0
s41.jpg,500,100,92,0
s41.jpg,400,100,65,0
s41.jpg,300,100,35,0
s41.jpg,365,100,25,0
s41.jpg,400,100,10,0
s42.jpg,560,100,90,0
s42.jpg,500,100,50,0
s42.jpg,400,100,40,0
s42.jpg,300,100,32,0
s42.jpg,365,100,5,0
s43.jpg,400,100,92,0
s43.jpg,560,100,65,0
s43.jpg,500,100,56,0
s43.jpg,400,100,25,0
s43.jpg,300,100,10,0
s44.jpg,365,100,92,0
s44.jpg,400,100,65,0
s44.jpg,560,100,26,0
s44.jpg,500,100,25,0
s44.jpg,400,100,10,0
s45.jpg,300,100,92,0
s45.jpg,365,100,65,0
s45.jpg,400,100,38,0
s45.jpg,560,100,25,0
s45.jpg,500,100,95,0
s46.jpg,400,100,92,0
s46.jpg,300,100,65,0
s46.jpg,365,100,38,0
s46.jpg,400,100,25,0
s46.jpg,560,100,0,0
s47.jpg,500,100,92,0
s47.jpg,400,100,65,0
s47.jpg,300,100,38,0
s47.jpg,365,100,10,0
s47.jpg,400,100,9,0
s48.jpg,560,90,100,1
s48.jpg,500,90,90,1
s48.jpg,400,90,80,0
s48.jpg,300,90,50,0
s48.jpg,365,90,62,0
s49.jpg,400,90,100,1
s49.jpg,560,90,90,0
s49.jpg,500,90,85,0
s49.jpg,400,90,73,0
s49.jpg,300,90,95,1
s50.jpg,365,90,100,1
s50.jpg,400,90,90,0
s50.jpg,560,90,93,0
s50.jpg,500,90,58,0
s50.jpg,400,90,95,1
s51.jpg,300,90,100,1
s51.jpg,365,90,90,0
s51.jpg,400,90,93,0
s51.jpg,560,90,98,1
s51.jpg,500,90,95,0
s52.jpg,400,90,100,1
s52.jpg,300,90,90,0
s52.jpg,365,90,93,0
s52.jpg,400,90,98,1
s52.jpg,560,90,95,1
s53.jpg,500,90,100,1
s53.jpg,400,90,95,1
s53.jpg,300,90,93,0
s53.jpg,365,90,50,0
s53.jpg,400,90,0,0
s54.jpg,560,90,100,1
s54.jpg,500,90,85,0
s54.jpg,400,90,93,1
s54.jpg,300,90,50,0
s54.jpg,365,90,20,0
s55.jpg,400,90,100,1
s55.jpg,560,90,85,0
s55.jpg,500,90,95,1
s55.jpg,400,90,50,0
s55.jpg,300,90,35,0
s56.jpg,365,90,100,1
s56.jpg,400,90,90,0
s56.jpg,560,90,95,1
s56.jpg,500,90,50,0
s56.jpg,400,90,35,0
s57.jpg,300,90,100,1
s57.jpg,365,90,90,0
s57.jpg,400,90,95,1
s57.jpg,560,90,50,0
s57.jpg,500,90,35,0
s58.jpg,400,90,95,1
s58.jpg,300,90,90,0
s58.jpg,365,90,93,1
s58.jpg,400,90,50,0
s58.jpg,560,90,5,0
s59.jpg,500,90,100,1
s59.jpg,400,90,90,1
s59.jpg,300,90,85,0
s59.jpg,365,90,83,0
s59.jpg,400,90,5,0
s60.jpg,560,50,90,1
s60.jpg,500,50,80,1
s60.jpg,400,50,60,0
s60.jpg,300,50,50,0
s60.jpg,365,50,20,0
s61.jpg,400,50,97,1
s61.jpg,560,50,80,1
s61.jpg,500,50,54,1
s61.jpg,400,50,20,0
s61.jpg,300,50,10,0
s62.jpg,365,50,89,1
s62.jpg,400,50,45,1
s62.jpg,560,50,20,0
s62.jpg,500,50,10,0
s62.jpg,400,50,5,0
s63.jpg,300,50,86,1
s63.jpg,365,50,70,1
s63.jpg,400,50,50,1
s63.jpg,560,50,20,0
s63.jpg,500,50,15,0
s64.jpg,400,90,79,1
s64.jpg,300,90,68,0
s64.jpg,365,90,25,0
s64.jpg,400,90,50,0
s64.jpg,560,90,92,1
s65.jpg,500,50,90,1
s65.jpg,400,50,75,0
s65.jpg,300,50,25,0
s65.jpg,365,50,50,0
s65.jpg,400,50,85,1
s66.jpg,560,50,80,1
s66.jpg,500,50,70,1
s66.jpg,400,50,25,1
s66.jpg,300,50,10,0
s66.jpg,365,50,5,0
s67.jpg,400,10,80,1
s67.jpg,560,10,50,1
s67.jpg,500,10,18,1
s67.jpg,400,10,5,0
s67.jpg,300,10,2,0
s68.jpg,365,10,80,1
s68.jpg,400,10,50,1
s68.jpg,560,10,20,1
s68.jpg,500,10,10,0
s68.jpg,400,10,5,0
s69.jpg,300,10,80,1
s69.jpg,365,10,50,1
s69.jpg,400,10,20,1
s69.jpg,560,10,10,1
s69.jpg,500,10,5,0
s70.jpg,400,10,100,1
s70.jpg,300,10,50,1
s70.jpg,365,10,20,1
s70.jpg,400,10,2,0
s70.jpg,560,10,5,0
s71.jpg,500,25,95,1
s71.jpg,400,25,50,1
s71.jpg,300,25,15,0
s71.jpg,365,25,10,0
s71.jpg,400,25,5,0
s72.jpg,560,10,98,1
s72.jpg,500,10,50,1
s72.jpg,400,10,15,1
s72.jpg,300,10,10,0
s72.jpg,365,10,5,0
s73.jpg,400,10,90,1
s73.jpg,560,10,50,1
s73.jpg,500,10,15,1
s73.jpg,400,10,10,1
s73.jpg,300,10,5,0
s74.jpg,365,10,100,1
s74.jpg,400,10,50,1
s74.jpg,560,10,10,1
s74.jpg,500,10,8,0
s74.jpg,400,10,5,0
s75.jpg,300,50,80,1
s75.jpg,365,50,70,1
s75.jpg,400,50,54,1
s75.jpg,560,50,23,0
s75.jpg,500,50,10,0
s76.jpg,400,10,76,1
s76.jpg,300,10,62,1
s76.jpg,365,10,20,1
s76.jpg,400,10,5,0
s76.jpg,560,10,2,0
s77.jpg,500,50,80,1
s77.jpg,400,50,54,1
s77.jpg,300,50,62,1
s77.jpg,365,50,20,0
s77.jpg,400,50,32,0
